file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,178,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,0
style.css,179,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,24
style.css,180,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,18
style.css,181,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,26
style.css,182,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,183,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,184,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,21
style.css,185,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,9
style.css,186,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,187,css,e49b21c2,Diego Osborn,2025-04-11,15:36:17,-07:00,2025-04-11T15:36:17-07:00,0,0
style.css,188,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,18
style.css,189,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,13
style.css,190,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,37
style.css,191,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,18
style.css,192,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,9
style.css,193,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,16
style.css,194,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,0
style.css,195,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,0
style.css,196,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,18
style.css,197,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,198,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,17
style.css,199,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,25
style.css,200,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,201,css,93d97741,Diego Osborn,2025-05-02,19:36:16,-07:00,2025-05-02T19:36:16-07:00,0,11
style.css,202,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,0
style.css,203,css,5a0630c8,Diego Osborn,2025-04-26,11:25:28,-07:00,2025-04-26T11:25:28-07:00,0,0
